,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Albany,40,US,1563159923,60,42.65,-73.75,296.48,4.6
1,Port Macquarie,40,AU,1563159968,29,-31.43,152.91,292.15,8.7
2,Khilok,90,RU,1563160426,31,51.36,110.46,300.023,2.05
3,Yar-Sale,47,RU,1563160426,64,66.83,70.83,295.823,3.37
4,Zaysan,3,KZ,1563160427,35,47.47,84.87,299.423,2.48
5,Qaanaaq,100,GL,1563160024,76,77.48,-69.36,279.223,4.2
6,Richards Bay,0,ZA,1563160025,82,-28.77,32.06,292.223,6.59
7,Tessalit,0,ML,1563160427,33,20.2,1.01,303.223,4.62
8,Atuona,0,PF,1563160001,75,-9.8,-139.03,300.223,7.01
9,Puerto Ayora,9,EC,1563160018,93,-0.74,-90.35,294.26,0.89
10,Rawson,0,AR,1563160054,72,-43.3,-65.11,279.423,4.75
11,Dikson,100,RU,1563159993,94,73.51,80.55,278.823,6.53
12,Alofi,15,NU,1563160206,65,-19.06,-169.92,299.15,6.2
13,Georgetown,20,GY,1563160062,94,6.8,-58.16,297.15,1.0
14,Bilma,73,NE,1563160428,16,18.69,12.92,305.623,2.34
15,Margate,75,AU,1563160093,54,-43.03,147.26,285.37,9.8
16,Mahenge,100,TZ,1563160428,60,-8.68,36.72,292.823,0.99
17,Busselton,0,AU,1563159993,44,-33.64,115.35,289.82,9.13
18,Hambantota,75,LK,1563160058,88,6.12,81.12,301.15,4.1
19,Punta Arenas,75,CL,1563159994,93,-53.16,-70.91,275.15,4.1
20,Port Alfred,0,ZA,1563160007,87,-33.59,26.89,288.15,0.45
21,Carnarvon,0,ZA,1563160040,27,-30.97,22.13,283.023,3.03
22,Ushuaia,75,AR,1563159781,86,-54.81,-68.31,276.15,2.1
23,Jamestown,90,AU,1563159998,77,-33.21,138.6,284.423,3.17
24,Wilmington,1,US,1563160253,50,39.75,-75.55,299.15,2.55
25,Hamilton,40,CA,1563160334,68,43.26,-79.87,296.15,3.1
26,Yellowknife,40,CA,1563160010,42,62.45,-114.38,293.15,3.1
27,Altay,0,CN,1563160430,42,47.83,88.13,293.223,1.58
28,Port Blair,75,IN,1563159958,83,11.67,92.75,302.15,3.6
29,Cidreira,100,BR,1563160005,89,-30.17,-50.22,282.223,2.16
30,Mataura,53,NZ,1563159997,76,-46.19,168.86,281.48,0.89
31,Khatanga,44,RU,1563159997,43,71.98,102.47,289.023,4.52
32,Hermanus,0,ZA,1563159992,87,-34.42,19.24,284.26,0.89
33,Baza,0,ES,1563160430,57,37.49,-2.77,292.59,0.89
34,Wana,0,PK,1563160431,63,32.31,69.59,294.023,0.92
35,Vaini,75,IN,1563159993,94,15.34,74.49,295.15,2.6
36,Sinnai,0,IT,1563160431,88,39.3,9.2,297.15,3.1
37,San Cristobal,100,HN,1563160431,78,14.68,-86.92,293.623,2.39
38,Esperance,0,AU,1563160014,81,-33.86,121.89,285.15,4.6
39,Hilo,75,US,1563160005,54,19.71,-155.08,302.15,4.6
40,Sao Filipe,51,CV,1563160431,89,14.9,-24.5,296.223,5.92
41,Rikitea,64,PF,1563159991,86,-23.12,-134.97,296.823,6.1
42,Praia,0,BR,1563160432,77,-20.25,-43.81,288.15,0.48
43,Maragogi,46,BR,1563160432,94,-9.01,-35.22,293.623,1.05
44,Alice Springs,0,AU,1563160419,31,-23.7,133.88,287.15,6.7
45,Trat,20,TH,1563160433,74,12.25,102.51,305.37,4.6
46,Miri,38,NG,1563160433,94,10.31,9.75,293.823,2.06
47,Santa Maria,0,BR,1563160433,51,-16.02,-48.01,290.15,1.0
48,Ishigaki,20,JP,1563160433,75,24.34,124.16,305.15,4.6
49,Constitucion,75,MX,1563160434,33,23.99,-104.67,297.15,2.6
50,Opuwo,0,NA,1563160098,50,-18.06,13.84,283.823,1.0
51,Hobart,75,AU,1563159995,54,-42.88,147.33,285.37,9.8
52,Miguel Calmon,0,BR,1563160434,96,-11.43,-40.6,287.823,1.98
53,Thompson,90,CA,1563159912,60,55.74,-97.86,293.15,1.0
54,Vao,53,EE,1563160090,73,59.1,26.19,283.023,2.24
55,Saskylakh,0,RU,1563160038,45,71.97,114.09,286.023,5.54
56,Bud,100,NO,1563160063,87,62.91,6.91,283.71,1.5
57,Murgab,0,TM,1563160045,58,37.5,61.97,302.15,6.2
58,Bluff,100,AU,1563159999,34,-23.58,149.07,290.423,1.51
59,Torbay,90,CA,1563159996,100,47.66,-52.73,283.71,7.2
60,Boende,37,CD,1563160435,94,-0.28,20.88,294.423,1.14
61,Birao,100,CF,1563160435,88,10.3,22.78,295.623,4.5
62,Tiksi,85,RU,1563160023,54,71.64,128.87,281.423,7.79
63,Tual,45,ID,1563160435,84,-5.67,132.75,298.623,10.14
64,Show Low,1,US,1563160436,31,34.25,-110.03,303.15,1.5
65,Kodiak,1,US,1563160001,44,39.95,-94.76,302.15,2.6
66,Walvis Bay,0,NA,1563160092,93,-22.95,14.51,287.15,0.5
67,Mangulile,93,HN,1563160436,96,15.04,-86.82,290.823,0.85
68,Katsuura,75,JP,1563159991,69,33.93,134.5,300.15,5.1
69,Kununurra,14,AU,1563160094,18,-15.77,128.74,294.15,6.7
70,Hofn,100,IS,1563160036,91,64.25,-15.21,280.023,2.25
71,Arraial do Cabo,1,BR,1563159998,74,-22.97,-42.02,295.423,2.16
72,Saint-Philippe,1,CA,1563160039,60,45.36,-73.48,294.82,3.92
73,Lokosovo,0,RU,1563160033,53,61.13,74.84,298.223,4.11
74,Anadyr,40,RU,1563160024,87,64.73,177.51,286.15,8.0
75,Jaciara,0,BR,1563160437,50,-15.95,-54.98,294.423,0.33
76,Comodoro Rivadavia,0,AR,1563160437,61,-45.87,-67.48,281.15,6.2
77,Klaksvik,100,FO,1563160073,100,62.23,-6.59,285.15,3.1
78,Butaritari,99,KI,1563160024,70,3.07,172.79,302.423,4.02
79,Navolato,0,MX,1563160438,62,24.76,-107.7,304.82,0.89
80,Sawtell,0,AU,1563160438,34,-30.38,153.1,291.48,7.7
81,Nanortalik,93,GL,1563159999,95,60.14,-45.24,277.023,0.84
82,Kaitangata,64,NZ,1563160042,64,-46.28,169.85,281.48,0.45
83,Beringovskiy,94,RU,1563160438,69,63.05,179.32,289.223,3.98
84,Barrow,99,AR,1563160032,85,-38.31,-60.23,280.423,4.29
85,Hagenow,92,DE,1563160438,94,53.43,11.19,287.59,1.34
86,Caravelas,2,BR,1563160046,91,-17.73,-39.27,292.823,3.37
87,Saint George,20,GR,1563160013,68,39.45,22.34,293.15,0.63
88,Mount Gambier,90,AU,1563160000,82,-37.83,140.78,286.15,5.7
89,Geraldton,90,CA,1563159991,88,49.72,-86.95,292.15,1.5
90,Kruisfontein,0,ZA,1563160043,84,-34.0,24.73,282.023,2.29
91,Taoudenni,0,ML,1563160439,24,22.68,-3.98,305.623,1.6
92,Baruun-Urt,52,MN,1563160440,24,46.68,113.28,303.023,4.79
93,Avarua,83,CK,1563159992,64,-21.21,-159.78,296.15,4.1
94,New Norfolk,75,AU,1563160003,54,-42.78,147.06,285.37,9.8
95,Cape Town,75,ZA,1563159747,93,-33.93,18.42,284.26,4.1
96,Sitka,0,US,1563160010,63,37.17,-99.65,299.82,0.45
97,Shwebo,98,MM,1563160440,71,22.57,95.7,301.423,5.78
98,La Ronge,75,CA,1563160003,93,55.1,-105.3,289.15,4.1
99,Kannangad,75,IN,1563160440,94,12.31,75.11,298.15,0.5
100,Touros,40,BR,1563160034,94,-5.2,-35.46,296.15,2.1
101,Victoria,75,BN,1563160441,70,5.28,115.24,303.15,1.5
102,Shimoda,75,JP,1563160441,94,34.7,138.93,298.71,7.2
103,Colquechaca,0,BO,1563160441,32,-18.7,-66.0,273.623,1.82
104,Muros,90,ES,1563160010,100,42.77,-9.06,290.93,2.1
105,Namibe,0,AO,1563160442,85,-15.19,12.15,292.223,6.31
106,Karratha,0,AU,1563160442,17,-20.74,116.85,296.823,10.93
107,Bredasdorp,0,ZA,1563160020,79,-34.53,20.04,281.223,2.48
108,Tortoli,5,IT,1563160442,73,39.93,9.66,296.15,2.6
109,Plettenberg Bay,0,ZA,1563160053,85,-34.05,23.37,283.223,1.67
110,Susangerd,0,IR,1563160443,33,31.56,48.19,303.15,4.1
111,Aguimes,40,ES,1563160443,78,27.91,-15.45,296.48,11.3
112,Hirara,20,JP,1563160443,74,24.8,125.28,304.15,4.1
113,Leningradskiy,100,RU,1563160443,96,69.38,178.42,275.823,1.06
114,Khani,0,GE,1563160444,64,41.96,42.96,296.15,7.7
115,Severo-Kurilsk,100,RU,1563160011,96,50.68,156.12,280.023,5.4
116,Kavieng,98,PG,1563160043,79,-2.57,150.8,301.023,3.96
117,Krasnovishersk,100,RU,1563160444,94,60.4,57.08,287.623,1.37
118,Kapaa,40,US,1563160003,70,22.08,-159.32,303.15,6.2
119,Dong Hoi,100,VN,1563160444,54,17.48,106.6,305.823,2.59
120,Bathsheba,75,BB,1563160091,88,13.22,-59.52,298.15,9.3
121,Sola,0,TZ,1563160080,69,-3.17,33.8,290.023,2.63
122,Lebu,75,ET,1563159991,93,8.96,38.73,285.15,1.0
123,Palmer,40,AU,1563160029,93,-34.85,139.16,287.59,5.1
124,Kahului,20,US,1563160009,51,20.89,-156.47,305.15,7.2
125,Harper,40,US,1563160445,83,30.3,-99.24,305.15,3.1
126,Port Lincoln,100,AU,1563160016,76,-34.72,135.86,285.623,5.03
127,Bethel,90,US,1563159898,60,60.79,-161.76,293.15,2.1
128,Saldanha,0,PT,1563160031,66,41.42,-6.55,293.023,1.82
129,Novyy Urengoy,8,RU,1563160446,49,66.08,76.63,300.223,6.37
130,Natal,40,BR,1563160230,88,-5.81,-35.21,296.15,2.1
131,Katima Mulilo,68,NA,1563160091,74,-17.5,24.28,276.15,2.1
132,Qaqortoq,0,GL,1563160084,66,60.72,-46.03,284.15,2.6
133,Te Anau,100,NZ,1563160037,64,-45.41,167.72,279.023,1.59
134,Awjilah,0,LY,1563160447,65,29.14,21.3,297.023,3.1
135,Aragarcas,1,BR,1563160447,49,-15.9,-52.25,293.223,0.43
136,Namatanai,100,PG,1563160017,76,-3.66,152.44,299.823,2.76
137,Billings,75,US,1563160447,82,45.79,-108.5,292.15,5.1
138,Balakhta,9,RU,1563160447,53,55.38,91.62,292.823,4.45
139,Ancud,40,CL,1563160024,93,-41.87,-73.83,278.15,1.5
140,Mount Isa,45,AU,1563160448,20,-20.73,139.49,291.15,6.2
141,Puerto Escondido,40,MX,1563160448,74,15.86,-97.07,301.15,1.62
142,Aswan,0,EG,1563160448,20,24.09,32.9,304.15,3.1
143,Russell,1,US,1563160333,48,38.9,-98.86,303.15,3.6
144,Thinadhoo,99,MV,1563160449,68,0.53,72.93,301.823,0.82
145,Hof,90,DE,1563160449,100,50.32,11.92,285.37,1.23
146,Fairbanks,1,US,1563159724,38,64.84,-147.72,298.15,3.1
147,Presidencia Roque Saenz Pena,100,AR,1563160449,59,-26.79,-60.44,289.423,2.69
148,Mayo,75,CA,1563160089,52,63.59,-135.9,294.15,2.1
149,Shubarkuduk,100,KZ,1563160449,78,49.15,56.49,291.223,10.38
150,Hasaki,75,JP,1563160028,83,35.73,140.83,297.04,5.1
151,Longyearbyen,75,NO,1563160066,75,78.22,15.63,280.15,3.1
